Category,Condition,No_of_studies
Immune System Diseases,"Diabetes Mellitus, Type 1",2316
Immune System Diseases,Diffuse Cerebral Sclerosis of Schilder,3
Immune System Diseases,Drug Eruptions,63
Immune System Diseases,Drug Hypersensitivity,106
Immune System Diseases,Drug Hypersensitivity Syndrome,7
Immune System Diseases,Egg Hypersensitivity,24
Immune System Diseases,"Encephalomyelitis, Acute Disseminated",4
Immune System Diseases,Enteropathy-Associated T-Cell Lymphoma,21
Immune System Diseases,Environmental Illness,9
Immune System Diseases,Eosinophilic Esophagitis,132
Immune System Diseases,Erythema Nodosum,6
Immune System Diseases,"Erythroblastosis, Fetal",20
Immune System Diseases,Felty Syndrome,1
Immune System Diseases,Food Hypersensitivity,336
Immune System Diseases,Giant Cell Arteritis,84
Immune System Diseases,"Glomerulonephritis, IGA",102
Immune System Diseases,"Glomerulonephritis, Membranoproliferative",17
Immune System Diseases,"Glomerulonephritis, Membranous",59
Immune System Diseases,Graft vs Host Disease,727
Immune System Diseases,Granulomatosis with Polyangiitis,89
Immune System Diseases,"Granulomatous Disease, Chronic",63
Immune System Diseases,Graves Disease,121
Immune System Diseases,Graves Ophthalmopathy,68
Immune System Diseases,Guillain-Barre Syndrome,30
Immune System Diseases,"Hepatitis, Autoimmune",38
Immune System Diseases,Hereditary Angioedema Types I and II,8
Immune System Diseases,HIV Enteropathy,4
Immune System Diseases,HIV Infections,7453
Immune System Diseases,HIV Seropositivity,492
Immune System Diseases,HIV Wasting Syndrome,14
Immune System Diseases,HIV-Associated Lipodystrophy Syndrome,24
Immune System Diseases,Hodgkin Disease,1221
Immune System Diseases,HTLV-I Infections,29
Immune System Diseases,HTLV-II Infections,3
Immune System Diseases,Hydrops Fetalis,8
Immune System Diseases,Hyper-IgM Immunodeficiency Syndrome,14
Immune System Diseases,"Hyper-IgM Immunodeficiency Syndrome, Type 1",13
Immune System Diseases,Hypergammaglobulinemia,84
Immune System Diseases,Hypersensitivity,7712
Immune System Diseases,"Hypersensitivity, Delayed",55
Immune System Diseases,"Hypersensitivity, Immediate",4796
Immune System Diseases,IgA Deficiency,1
Immune System Diseases,IgG Deficiency,7
Immune System Diseases,Immune Complex Diseases,85
Immune System Diseases,Immune Reconstitution Inflammatory Syndrome,14
Immune System Diseases,Immunoblastic Lymphadenopathy,252
Immune System Diseases,Immunoglobulin G4-Related Disease,20
Immune System Diseases,Immunoglobulin Light-chain Amyloidosis,152
Immune System Diseases,Immunologic Deficiency Syndromes,5240
Immune System Diseases,Immunoproliferative Disorders,8342
Immune System Diseases,Infectious Mononucleosis,11
Immune System Diseases,Intraocular Lymphoma,152
Immune System Diseases,Job Syndrome,13
Immune System Diseases,Kernicterus,7
Immune System Diseases,Lambert-Eaton Myasthenic Syndrome,21
Immune System Diseases,Latent Autoimmune Diabetes in Adults,7
Immune System Diseases,Latex Hypersensitivity,2
Immune System Diseases,"Leukemia, B-Cell",1207
Immune System Diseases,"Leukemia, Biphenotypic, Acute",30
Immune System Diseases,"Leukemia, Hairy Cell",217
Immune System Diseases,"Leukemia, Large Granular Lymphocytic",124
Immune System Diseases,"Leukemia, Lymphocytic, Chronic, B-Cell",1689
Immune System Diseases,"Leukemia, Lymphoid",2903
Immune System Diseases,"Leukemia, Plasma Cell",30
Immune System Diseases,"Leukemia, Prolymphocytic",192
Immune System Diseases,"Leukemia, Prolymphocytic, B-Cell",16
Immune System Diseases,"Leukemia, Prolymphocytic, T-Cell",17
Immune System Diseases,"Leukemia, T-Cell",339
Immune System Diseases,"Leukemia-Lymphoma, Adult T-Cell",318
Immune System Diseases,Leukocyte-Adhesion Deficiency Syndrome,8
Immune System Diseases,Linear IgA Bullous Dermatosis,2
Immune System Diseases,"Lupus Erythematosus, Systemic",665
Immune System Diseases,Lupus Nephritis,133
Immune System Diseases,"Lupus Vasculitis, Central Nervous System",5
Immune System Diseases,Lymphangioleiomyomatosis,36
Immune System Diseases,Lymphangiomyoma,35
Immune System Diseases,Lymphoma,6335
Immune System Diseases,"Lymphoma, AIDS-Related",35
Immune System Diseases,"Lymphoma, B-Cell",1915
Immune System Diseases,"Lymphoma, B-Cell, Marginal Zone",693
Immune System Diseases,"Lymphoma, Follicular",1130
Immune System Diseases,"Lymphoma, Large B-Cell, Diffuse",1345
Immune System Diseases,"Lymphoma, Large-Cell, Anaplastic",360
Immune System Diseases,"Lymphoma, Large-Cell, Immunoblastic",545
Immune System Diseases,"Lymphoma, Mantle-Cell",960
Immune System Diseases,"Lymphoma, Non-Hodgkin",3662
Immune System Diseases,"Lymphoma, Primary Cutaneous Anaplastic Large Cell",9
Immune System Diseases,"Lymphoma, Primary Effusion",13
Immune System Diseases,"Lymphoma, T-Cell",966
Immune System Diseases,"Lymphoma, T-Cell, Cutaneous",513
Immune System Diseases,"Lymphoma, T-Cell, Peripheral",257
Immune System Diseases,Lymphomatoid Granulomatosis,179
Immune System Diseases,Lymphomatoid Papulosis,5
Immune System Diseases,Lymphopenia,64
Immune System Diseases,Lymphoproliferative Disorders,8625
Immune System Diseases,Macrophage Activation Syndrome,9
Immune System Diseases,Mastocytosis,73
Immune System Diseases,"Mastocytosis, Systemic",48
Immune System Diseases,Mevalonate Kinase Deficiency,4
Immune System Diseases,Microscopic Polyangiitis,53
Immune System Diseases,Milk Hypersensitivity,94
Immune System Diseases,Miller Fisher Syndrome,2
Immune System Diseases,Monoclonal Gammopathy of Undetermined Significance,92
Immune System Diseases,Multiple Chemical Sensitivity,7
Immune System Diseases,Multiple Myeloma,2480
Immune System Diseases,Multiple Sclerosis,1861
Immune System Diseases,"Multiple Sclerosis, Chronic Progressive",100
Immune System Diseases,"Multiple Sclerosis, Relapsing-Remitting",455
Immune System Diseases,Myasthenia Gravis,81
Immune System Diseases,"Myasthenia Gravis, Neonatal",1
Immune System Diseases,Mycosis Fungoides,392
Immune System Diseases,"Myelitis, Transverse",52
Immune System Diseases,Neuromyelitis Optica,48
Immune System Diseases,Nut and Peanut Hypersensitivity,99
Immune System Diseases,Nut Hypersensitivity,15
Immune System Diseases,Paraproteinemias,2587
Immune System Diseases,Peanut Hypersensitivity,109
Immune System Diseases,"Pemphigoid, Bullous",39
Immune System Diseases,Pemphigus,42
Immune System Diseases,Phagocyte Bactericidal Dysfunction,68
Immune System Diseases,Plasmablastic Lymphoma,544
Immune System Diseases,Plasmacytoma,372
Immune System Diseases,POEMS Syndrome,6
Immune System Diseases,"Polyendocrinopathies, Autoimmune",6
Immune System Diseases,Polyradiculoneuropathy,81
Immune System Diseases,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",49
Immune System Diseases,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,11
Immune System Diseases,Precursor Cell Lymphoblastic Leukemia-Lymphoma,1787
Immune System Diseases,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,67
Immune System Diseases,"Purpura, Schoenlein-Henoch",23
Immune System Diseases,"Purpura, Thrombocytopenic",285
Immune System Diseases,"Purpura, Thrombocytopenic, Idiopathic",247
Immune System Diseases,Respiratory Hypersensitivity,3245
Immune System Diseases,Rheumatoid Vasculitis,1
Immune System Diseases,"Rhinitis, Allergic",859
Immune System Diseases,"Rhinitis, Allergic, Perennial",163
Immune System Diseases,"Rhinitis, Allergic, Seasonal",390
Immune System Diseases,Schnitzler Syndrome,8
Immune System Diseases,Severe Combined Immunodeficiency,66
Immune System Diseases,Sezary Syndrome,341
Immune System Diseases,Shellfish Hypersensitivity,1
Immune System Diseases,Sjogren's Syndrome,171
Immune System Diseases,Smoldering Multiple Myeloma,60
Immune System Diseases,Status Asthmaticus,36
Immune System Diseases,Stevens-Johnson Syndrome,26
Immune System Diseases,Stiff-Person Syndrome,6
Immune System Diseases,"Still's Disease, Adult-Onset",10
Immune System Diseases,"T-Lymphocytopenia, Idiopathic CD4-Positive",5
Immune System Diseases,"Thyroiditis, Autoimmune",43
Immune System Diseases,Transfusion Reaction,32
Immune System Diseases,Transfusion-Related Acute Lung Injury,7
Immune System Diseases,Tumor Lysis Syndrome,20
Immune System Diseases,Undifferentiated Connective Tissue Diseases,25
Immune System Diseases,Urticaria,264
Immune System Diseases,Uveomeningoencephalitic Syndrome,4
Immune System Diseases,"Vasculitis, Central Nervous System",92
Immune System Diseases,"Vasculitis, Leukocytoclastic, Cutaneous",4
Immune System Diseases,Waldenstrom Macroglobulinemia,464
Immune System Diseases,Wheat Hypersensitivity,10
Immune System Diseases,Wiskott-Aldrich Syndrome,36
Immune System Diseases,X-Linked Combined Immunodeficiency Diseases,15
Mouth and Tooth Diseases,Aggressive Periodontitis,43
Mouth and Tooth Diseases,Alveolar Bone Loss,93
Mouth and Tooth Diseases,Amelogenesis Imperfecta,3
Mouth and Tooth Diseases,Ankyloglossia,7
Mouth and Tooth Diseases,Anodontia,33
Mouth and Tooth Diseases,Basal Cell Nevus Syndrome,32
Mouth and Tooth Diseases,Behcet Syndrome,64
Mouth and Tooth Diseases,Bell Palsy,41
Mouth and Tooth Diseases,Bisphosphonate-Associated Osteonecrosis of the Jaw,8
Mouth and Tooth Diseases,Bruxism,47
Mouth and Tooth Diseases,Burning Mouth Syndrome,20
Mouth and Tooth Diseases,"Candidiasis, Oral",43
Mouth and Tooth Diseases,Cheilitis,7
Mouth and Tooth Diseases,Cherubism,2
Mouth and Tooth Diseases,Chronic Periodontitis,301
Mouth and Tooth Diseases,Cleft Lip,64
Mouth and Tooth Diseases,Cleft Palate,76
Mouth and Tooth Diseases,Craniomandibular Disorders,157
Mouth and Tooth Diseases,Dental Calculus,5
Mouth and Tooth Diseases,Dental Caries,545
Mouth and Tooth Diseases,Dental Deposits,100
Mouth and Tooth Diseases,Dental Enamel Hypoplasia,19
Mouth and Tooth Diseases,Dental Fissures,1
Mouth and Tooth Diseases,Dental Leakage,2
Mouth and Tooth Diseases,"Dental Occlusion, Traumatic",4
Mouth and Tooth Diseases,Dental Plaque,118
Mouth and Tooth Diseases,Dental Pulp Diseases,195
Mouth and Tooth Diseases,Dental Pulp Exposure,10
Mouth and Tooth Diseases,Dental Pulp Necrosis,49
Mouth and Tooth Diseases,Dentin Sensitivity,109
Mouth and Tooth Diseases,"Dentin, Secondary",2
Mouth and Tooth Diseases,Dentinogenesis Imperfecta,1
Mouth and Tooth Diseases,Dentofacial Deformities,13
Mouth and Tooth Diseases,Diastema,2
Mouth and Tooth Diseases,Dry Socket,8
Mouth and Tooth Diseases,Facial Hemiatrophy,2
Mouth and Tooth Diseases,Facial Nerve Diseases,103
Mouth and Tooth Diseases,Facial Nerve Injuries,4
Mouth and Tooth Diseases,Facial Neuralgia,58
Mouth and Tooth Diseases,Facial Paralysis,41
Mouth and Tooth Diseases,"Fluorosis, Dental",13
Mouth and Tooth Diseases,"Focal Infection, Dental",1
Mouth and Tooth Diseases,Furcation Defects,22
Mouth and Tooth Diseases,Gingival Diseases,397
Mouth and Tooth Diseases,Gingival Hemorrhage,16
Mouth and Tooth Diseases,Gingival Hyperplasia,3
Mouth and Tooth Diseases,Gingival Hypertrophy,3
Mouth and Tooth Diseases,Gingival Neoplasms,1
Mouth and Tooth Diseases,Gingival Overgrowth,9
Mouth and Tooth Diseases,Gingival Recession,160
Mouth and Tooth Diseases,Gingivitis,207
Mouth and Tooth Diseases,"Gingivitis, Necrotizing Ulcerative",5
Mouth and Tooth Diseases,Glossitis,15
Mouth and Tooth Diseases,"Glossitis, Benign Migratory",19
Mouth and Tooth Diseases,"Granuloma, Giant Cell",2
Mouth and Tooth Diseases,Hemifacial Spasm,17
Mouth and Tooth Diseases,Herpes Labialis,47
Mouth and Tooth Diseases,Herpes Zoster Oticus,1
Mouth and Tooth Diseases,Hypopharyngeal Neoplasms,28
Mouth and Tooth Diseases,Jaw Abnormalities,107
Mouth and Tooth Diseases,Jaw Diseases,450
Mouth and Tooth Diseases,"Jaw, Edentulous",83
Mouth and Tooth Diseases,"Jaw, Edentulous, Partially",42
Mouth and Tooth Diseases,"Leukoplakia, Hairy",1
Mouth and Tooth Diseases,"Leukoplakia, Oral",25
Mouth and Tooth Diseases,"Lichen Planus, Oral",54
Mouth and Tooth Diseases,Lip Neoplasms,54
Mouth and Tooth Diseases,Macroglossia,3
Mouth and Tooth Diseases,Malocclusion,169
Mouth and Tooth Diseases,"Malocclusion, Angle Class I",7
Mouth and Tooth Diseases,"Malocclusion, Angle Class II",44
Mouth and Tooth Diseases,"Malocclusion, Angle Class III",17
Mouth and Tooth Diseases,Mandibular Diseases,185
Mouth and Tooth Diseases,Mandibular Neoplasms,4
Mouth and Tooth Diseases,Maxillary Diseases,4
Mouth and Tooth Diseases,Maxillary Neoplasms,2
Mouth and Tooth Diseases,Maxillofacial Abnormalities,121
Mouth and Tooth Diseases,Mesial Movement of Teeth,2
Mouth and Tooth Diseases,Micrognathism,12
Mouth and Tooth Diseases,Microstomia,1
Mouth and Tooth Diseases,Mobius Syndrome,4
Mouth and Tooth Diseases,Mouth Abnormalities,112
Mouth and Tooth Diseases,Mouth Diseases,2955
Mouth and Tooth Diseases,Mouth Neoplasms,412
Mouth and Tooth Diseases,"Mouth, Edentulous",218
Mouth and Tooth Diseases,Mucositis,311
Mouth and Tooth Diseases,Mumps,84
Mouth and Tooth Diseases,Nasopharyngeal Carcinoma,587
Mouth and Tooth Diseases,Nasopharyngeal Diseases,448
Mouth and Tooth Diseases,Nasopharyngeal Neoplasms,446
Mouth and Tooth Diseases,Nasopharyngitis,2
Mouth and Tooth Diseases,Open Bite,7
Mouth and Tooth Diseases,Oral Hemorrhage,9
Mouth and Tooth Diseases,Oral Manifestations,17
Mouth and Tooth Diseases,Oral Submucous Fibrosis,6
Mouth and Tooth Diseases,Oral Ulcer,29
Mouth and Tooth Diseases,Oropharyngeal Neoplasms,224
Mouth and Tooth Diseases,Overbite,45
Mouth and Tooth Diseases,Palatal Neoplasms,1
Mouth and Tooth Diseases,Parotid Diseases,38
Mouth and Tooth Diseases,Parotid Neoplasms,9
Mouth and Tooth Diseases,Parotitis,28
Mouth and Tooth Diseases,Peri-Implantitis,86
Mouth and Tooth Diseases,Periapical Abscess,7
Mouth and Tooth Diseases,Periapical Diseases,57
Mouth and Tooth Diseases,Periapical Granuloma,2
Mouth and Tooth Diseases,Periapical Periodontitis,60
Mouth and Tooth Diseases,Pericoronitis,6
Mouth and Tooth Diseases,Periodontal Atrophy,246
Mouth and Tooth Diseases,Periodontal Attachment Loss,17
Mouth and Tooth Diseases,Periodontal Diseases,1366
Mouth and Tooth Diseases,Periodontal Pocket,41
Mouth and Tooth Diseases,Periodontitis,659
Mouth and Tooth Diseases,Peritonsillar Abscess,12
Mouth and Tooth Diseases,Pharyngeal Diseases,1111
Mouth and Tooth Diseases,Pharyngeal Neoplasms,655
Mouth and Tooth Diseases,Pharyngitis,227
Mouth and Tooth Diseases,Pierre Robin Syndrome,8
Mouth and Tooth Diseases,Prognathism,17
Mouth and Tooth Diseases,Pulpitis,108
Mouth and Tooth Diseases,Retrognathia,11
Mouth and Tooth Diseases,Retropharyngeal Abscess,1
Mouth and Tooth Diseases,Root Caries,10
Mouth and Tooth Diseases,Root Resorption,11
Mouth and Tooth Diseases,Salivary Gland Diseases,429
Mouth and Tooth Diseases,Salivary Gland Neoplasms,105
Mouth and Tooth Diseases,Sialadenitis,5
Mouth and Tooth Diseases,Sialorrhea,35
Mouth and Tooth Diseases,Sjogren's Syndrome,171
Mouth and Tooth Diseases,Sleep Bruxism,29
Mouth and Tooth Diseases,Smear Layer,1
Mouth and Tooth Diseases,Stevens-Johnson Syndrome,26
Mouth and Tooth Diseases,Stomatitis,262
Mouth and Tooth Diseases,"Stomatitis, Aphthous",31
Mouth and Tooth Diseases,"Stomatitis, Denture",13
Mouth and Tooth Diseases,"Stomatitis, Herpetic",3
Mouth and Tooth Diseases,Stomatognathic System Abnormalities,219
Mouth and Tooth Diseases,Submandibular Gland Diseases,1
Mouth and Tooth Diseases,Temporomandibular Joint Disorders,171
Mouth and Tooth Diseases,Temporomandibular Joint Dysfunction Syndrome,171
Mouth and Tooth Diseases,Tongue Diseases,70
Mouth and Tooth Diseases,Tongue Neoplasms,51
Mouth and Tooth Diseases,Tonsillar Neoplasms,4
Mouth and Tooth Diseases,Tonsillitis,80
Mouth and Tooth Diseases,Tooth Abnormalities,59
Mouth and Tooth Diseases,Tooth Abrasion,5
Mouth and Tooth Diseases,Tooth Ankylosis,1
Mouth and Tooth Diseases,Tooth Attrition,52
Mouth and Tooth Diseases,Tooth Avulsion,5
Mouth and Tooth Diseases,Tooth Demineralization,497
Mouth and Tooth Diseases,Tooth Discoloration,42
Mouth and Tooth Diseases,Tooth Diseases,1609
Mouth and Tooth Diseases,Tooth Erosion,22
Mouth and Tooth Diseases,"Tooth Eruption, Ectopic",1
Mouth and Tooth Diseases,Tooth Fractures,13
Mouth and Tooth Diseases,Tooth Injuries,20
Mouth and Tooth Diseases,Tooth Loss,99
Mouth and Tooth Diseases,Tooth Migration,3
Mouth and Tooth Diseases,Tooth Mobility,5
Mouth and Tooth Diseases,Tooth Resorption,10
Mouth and Tooth Diseases,Tooth Wear,52
Mouth and Tooth Diseases,"Tooth, Impacted",110
Mouth and Tooth Diseases,"Tooth, Nonvital",36
Mouth and Tooth Diseases,"Tooth, Supernumerary",2
Mouth and Tooth Diseases,Toothache,123
Mouth and Tooth Diseases,Trigeminal Nerve Diseases,54
Mouth and Tooth Diseases,Trigeminal Nerve Injuries,3
Mouth and Tooth Diseases,Trigeminal Neuralgia,52
Mouth and Tooth Diseases,Velopharyngeal Insufficiency,8
Mouth and Tooth Diseases,Vesicular Stomatitis,12
Mouth and Tooth Diseases,Xerostomia,288
"Muscle, Bone, and Cartilage Diseases",22q11 Deletion Syndrome,34
"Muscle, Bone, and Cartilage Diseases",Achondroplasia,18
"Muscle, Bone, and Cartilage Diseases",Acquired Hyperostosis Syndrome,3
"Muscle, Bone, and Cartilage Diseases",Acromegaly,161
"Muscle, Bone, and Cartilage Diseases",Adamantinoma,99
"Muscle, Bone, and Cartilage Diseases",Alveolar Bone Loss,93
"Muscle, Bone, and Cartilage Diseases",Ankylosis,308
"Muscle, Bone, and Cartilage Diseases",Anterior Compartment Syndrome,2
"Muscle, Bone, and Cartilage Diseases",Arachnodactyly,51
"Muscle, Bone, and Cartilage Diseases",Arthralgia,443
"Muscle, Bone, and Cartilage Diseases",Arthritis,6657
"Muscle, Bone, and Cartilage Diseases","Arthritis, Experimental",1
"Muscle, Bone, and Cartilage Diseases","Arthritis, Gouty",20
"Muscle, Bone, and Cartilage Diseases","Arthritis, Infectious",79
"Muscle, Bone, and Cartilage Diseases","Arthritis, Juvenile",211
"Muscle, Bone, and Cartilage Diseases","Arthritis, Psoriatic",305
"Muscle, Bone, and Cartilage Diseases","Arthritis, Reactive",8
"Muscle, Bone, and Cartilage Diseases","Arthritis, Rheumatoid",2475
"Muscle, Bone, and Cartilage Diseases",Arthrogryposis,6
"Muscle, Bone, and Cartilage Diseases","Arthropathy, Neurogenic",9
"Muscle, Bone, and Cartilage Diseases",Basal Cell Nevus Syndrome,32
"Muscle, Bone, and Cartilage Diseases",Bisphosphonate-Associated Osteonecrosis of the Jaw,8
"Muscle, Bone, and Cartilage Diseases",Bone Cysts,43
"Muscle, Bone, and Cartilage Diseases","Bone Cysts, Aneurysmal",3
"Muscle, Bone, and Cartilage Diseases","Bone Demineralization, Pathologic",7
"Muscle, Bone, and Cartilage Diseases",Bone Diseases,4546
"Muscle, Bone, and Cartilage Diseases","Bone Diseases, Developmental",653
"Muscle, Bone, and Cartilage Diseases","Bone Diseases, Endocrine",384
"Muscle, Bone, and Cartilage Diseases","Bone Diseases, Infectious",366
"Muscle, Bone, and Cartilage Diseases","Bone Diseases, Metabolic",1397
"Muscle, Bone, and Cartilage Diseases",Bone Malalignment,2
"Muscle, Bone, and Cartilage Diseases",Bone Neoplasms,340
"Muscle, Bone, and Cartilage Diseases",Bone Resorption,172
"Muscle, Bone, and Cartilage Diseases",Brachydactyly,2
"Muscle, Bone, and Cartilage Diseases",Bronchomalacia,2
"Muscle, Bone, and Cartilage Diseases",Bunion,65
"Muscle, Bone, and Cartilage Diseases",Bursitis,110
"Muscle, Bone, and Cartilage Diseases",Cartilage Diseases,135
"Muscle, Bone, and Cartilage Diseases",Cherubism,2
"Muscle, Bone, and Cartilage Diseases",Chondrocalcinosis,28
"Muscle, Bone, and Cartilage Diseases",Chondromalacia Patellae,6
"Muscle, Bone, and Cartilage Diseases",Chronic Kidney Disease-Mineral and Bone Disorder,35
"Muscle, Bone, and Cartilage Diseases",Cleft Palate,76
"Muscle, Bone, and Cartilage Diseases",Clubfoot,71
"Muscle, Bone, and Cartilage Diseases",Cockayne Syndrome,7
"Muscle, Bone, and Cartilage Diseases",Colles' Fracture,25
"Muscle, Bone, and Cartilage Diseases",Compartment Syndromes,67
"Muscle, Bone, and Cartilage Diseases",Congenital Hypothyroidism,10
"Muscle, Bone, and Cartilage Diseases",Contracture,126
"Muscle, Bone, and Cartilage Diseases",Costello Syndrome,1
"Muscle, Bone, and Cartilage Diseases",Craniofacial Abnormalities,255
"Muscle, Bone, and Cartilage Diseases",Craniofacial Dysostosis,24
"Muscle, Bone, and Cartilage Diseases",Craniofacial Fibrous Dysplasia,1
"Muscle, Bone, and Cartilage Diseases",Craniomandibular Disorders,157
"Muscle, Bone, and Cartilage Diseases",Craniosynostoses,54
"Muscle, Bone, and Cartilage Diseases",Crystal Arthropathies,132
"Muscle, Bone, and Cartilage Diseases",De Quervain Disease,4
"Muscle, Bone, and Cartilage Diseases",Dentofacial Deformities,13
"Muscle, Bone, and Cartilage Diseases",Dermatomyositis,85
"Muscle, Bone, and Cartilage Diseases","Diastasis, Bone",3
"Muscle, Bone, and Cartilage Diseases","Diastasis, Muscle",7
"Muscle, Bone, and Cartilage Diseases",DiGeorge Syndrome,34
"Muscle, Bone, and Cartilage Diseases",Discitis,9
"Muscle, Bone, and Cartilage Diseases",Distal Myopathies,14
"Muscle, Bone, and Cartilage Diseases",Dupuytren Contracture,53
"Muscle, Bone, and Cartilage Diseases",Dwarfism,335
"Muscle, Bone, and Cartilage Diseases","Dwarfism, Pituitary",219
"Muscle, Bone, and Cartilage Diseases",Dysostoses,94
"Muscle, Bone, and Cartilage Diseases",Elbow Tendinopathy,99
"Muscle, Bone, and Cartilage Diseases",Ellis-Van Creveld Syndrome,1
"Muscle, Bone, and Cartilage Diseases",Enthesopathy,11
"Muscle, Bone, and Cartilage Diseases",Eosinophilia-Myalgia Syndrome,1
"Muscle, Bone, and Cartilage Diseases",Equinus Deformity,71
"Muscle, Bone, and Cartilage Diseases",Exostoses,26
"Muscle, Bone, and Cartilage Diseases","Exostoses, Multiple Hereditary",11
"Muscle, Bone, and Cartilage Diseases",Familial Hypophosphatemic Rickets,38
"Muscle, Bone, and Cartilage Diseases",Fasciitis,104
"Muscle, Bone, and Cartilage Diseases","Fasciitis, Necrotizing",15
"Muscle, Bone, and Cartilage Diseases","Fasciitis, Plantar",84
"Muscle, Bone, and Cartilage Diseases","Fatigue Syndrome, Chronic",111
"Muscle, Bone, and Cartilage Diseases",Felty Syndrome,1
"Muscle, Bone, and Cartilage Diseases",Female Athlete Triad Syndrome,7
"Muscle, Bone, and Cartilage Diseases",Femoracetabular Impingement,44
"Muscle, Bone, and Cartilage Diseases",Femur Head Necrosis,47
"Muscle, Bone, and Cartilage Diseases","Fibromatosis, Plantar",1
"Muscle, Bone, and Cartilage Diseases",Fibromyalgia,800
"Muscle, Bone, and Cartilage Diseases",Fibrous Dysplasia of Bone,21
"Muscle, Bone, and Cartilage Diseases","Fibrous Dysplasia, Polyostotic",13
"Muscle, Bone, and Cartilage Diseases",Flatfoot,34
"Muscle, Bone, and Cartilage Diseases",Focal Dermal Hypoplasia,5
"Muscle, Bone, and Cartilage Diseases",Foot Deformities,172
"Muscle, Bone, and Cartilage Diseases","Foot Deformities, Acquired",125
"Muscle, Bone, and Cartilage Diseases","Foot Deformities, Congenital",172
"Muscle, Bone, and Cartilage Diseases",Foot Diseases,589
"Muscle, Bone, and Cartilage Diseases",Fracture Dislocation,34
"Muscle, Bone, and Cartilage Diseases",Fraser Syndrome,1
"Muscle, Bone, and Cartilage Diseases",Funnel Chest,33
"Muscle, Bone, and Cartilage Diseases",Gastroschisis,29
"Muscle, Bone, and Cartilage Diseases",Genu Valgum,3
"Muscle, Bone, and Cartilage Diseases",Genu Varum,5
"Muscle, Bone, and Cartilage Diseases",Giant Cell Tumor of Tendon Sheath,10
"Muscle, Bone, and Cartilage Diseases",Gigantism,6
"Muscle, Bone, and Cartilage Diseases",Glycogen Storage Disease Type VII,4
"Muscle, Bone, and Cartilage Diseases",Goldenhar Syndrome,8
"Muscle, Bone, and Cartilage Diseases",Gout,199
"Muscle, Bone, and Cartilage Diseases","Granuloma, Giant Cell",2
"Muscle, Bone, and Cartilage Diseases",Hallux Limitus,20
"Muscle, Bone, and Cartilage Diseases",Hallux Rigidus,20
"Muscle, Bone, and Cartilage Diseases",Hallux Valgus,78
"Muscle, Bone, and Cartilage Diseases",Hallux Varus,1
"Muscle, Bone, and Cartilage Diseases",Hammer Toe Syndrome,6
"Muscle, Bone, and Cartilage Diseases",Hand Deformities,8
"Muscle, Bone, and Cartilage Diseases","Hand Deformities, Congenital",4
"Muscle, Bone, and Cartilage Diseases",Heel Spur,10
"Muscle, Bone, and Cartilage Diseases",Hemarthrosis,16
"Muscle, Bone, and Cartilage Diseases",Hip Dislocation,89
"Muscle, Bone, and Cartilage Diseases","Hip Dislocation, Congenital",88
"Muscle, Bone, and Cartilage Diseases",Holoprosencephaly,4
"Muscle, Bone, and Cartilage Diseases",Hydrarthrosis,6
"Muscle, Bone, and Cartilage Diseases",Hyperostosis,20
"Muscle, Bone, and Cartilage Diseases","Hyperostosis, Diffuse Idiopathic Skeletal",1
"Muscle, Bone, and Cartilage Diseases",Hypertelorism,14
"Muscle, Bone, and Cartilage Diseases",Hypokalemic Periodic Paralysis,3
"Muscle, Bone, and Cartilage Diseases",Intervertebral Disc Degeneration,304
"Muscle, Bone, and Cartilage Diseases",Intervertebral Disc Displacement,111
"Muscle, Bone, and Cartilage Diseases",Intra-Abdominal Hypertension,33
"Muscle, Bone, and Cartilage Diseases",Isaacs Syndrome,2
"Muscle, Bone, and Cartilage Diseases",Jaw Abnormalities,107
"Muscle, Bone, and Cartilage Diseases",Jaw Diseases,450
"Muscle, Bone, and Cartilage Diseases","Jaw, Edentulous",83
"Muscle, Bone, and Cartilage Diseases","Jaw, Edentulous, Partially",42
"Muscle, Bone, and Cartilage Diseases","Joint Deformities, Acquired",3
"Muscle, Bone, and Cartilage Diseases",Joint Diseases,7731
"Muscle, Bone, and Cartilage Diseases",Joint Dislocations,281
"Muscle, Bone, and Cartilage Diseases",Joint Instability,62
"Muscle, Bone, and Cartilage Diseases",Joint Loose Bodies,3
"Muscle, Bone, and Cartilage Diseases",Kashin-Beck Disease,1
"Muscle, Bone, and Cartilage Diseases",Kearns-Sayre Syndrome,7
"Muscle, Bone, and Cartilage Diseases",Klippel-Feil Syndrome,4
"Muscle, Bone, and Cartilage Diseases",Knee Dislocation,4
"Muscle, Bone, and Cartilage Diseases",Kyphosis,49
"Muscle, Bone, and Cartilage Diseases",Laron Syndrome,2
"Muscle, Bone, and Cartilage Diseases",Laryngomalacia,9
"Muscle, Bone, and Cartilage Diseases",Leg Length Inequality,23
"Muscle, Bone, and Cartilage Diseases",Legg-Calve-Perthes Disease,10
"Muscle, Bone, and Cartilage Diseases",LEOPARD Syndrome,1
"Muscle, Bone, and Cartilage Diseases","Limb Deformities, Congenital",144
"Muscle, Bone, and Cartilage Diseases",Loeys-Dietz Syndrome,4
"Muscle, Bone, and Cartilage Diseases",Lordosis,16
